id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,chamber,congress,senate_class,state_rank,lis_id,user_id
A000374,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000374.json,Ralph,NA,Abraham,NA,9/16/54,M,R,NA,RepAbraham,CongressmanRalphAbraham,NA,412630,76236,155414,21522,N00036633,/m/012dwd7_,H4LA05221,https://abraham.house.gov,https://abraham.house.gov/rss.xml,NA,FALSE,0.504,NA,2,2016,1325,2,0,7/8/18 18:10,ocd-division/country:us/state:la/cd:5,NA,NA,NA,LA,5,FALSE,2205,0.15,96.52,house,114,NA,NA,NA,2962891515
A000370,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000370.json,Alma,NA,Adams,NA,5/27/46,F,D,NA,RepAdams,CongresswomanAdams,NA,412607,76386,5935,21545,N00035451,/m/02b45d,H4NC12100,https://adams.house.gov,https://adams.house.gov/rss.xml,NA,FALSE,-0.468,NA,4,2016,1325,101,0,7/8/18 18:10,ocd-division/country:us/state:nc/cd:12,NA,NA,NA,NC,12,FALSE,3712,7.62,97.3,house,114,NA,NA,NA,2916086925
A000055,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000055.json,Robert,B.,Aderholt,NA,7/22/65,M,R,NA,Robert_Aderholt,RobertAderholt,RobertAderholt,400004,45516,441,29701,N00003028,/m/024p03,H6AL04098,https://aderholt.house.gov,https://aderholt.house.gov/rss.xml,NA,FALSE,0.361,NA,20,2016,1325,22,0,1/6/19 15:21,ocd-division/country:us/state:al/cd:4,NA,NA,NA,AL,4,FALSE,104,1.66,94.4,house,114,NA,NA,NA,76452765
A000371,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000371.json,Pete,NA,Aguilar,NA,6/19/79,M,D,NA,reppeteaguilar,reppeteaguilar,NA,412615,79994,70114,21506,N00033997,/m/0jwv0xf,H2CA31125,https://aguilar.house.gov,https://aguilar.house.gov/rss.xml,NA,FALSE,-0.286,NA,2,2016,1325,47,0,7/8/18 18:09,ocd-division/country:us/state:ca/cd:31,NA,NA,NA,CA,31,FALSE,631,3.55,90.45,house,114,NA,NA,NA,3018670151
A000372,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000372.json,Rick,NA,Allen,NA,11/7/51,M,R,NA,reprickallen,CongressmanRickAllen,NA,412625,62545,136062,21516,N00033720,/m/0127y9dk,H2GA12121,https://allen.house.gov,NA,NA,FALSE,0.619,NA,2,2016,1325,16,0,7/8/18 18:10,ocd-division/country:us/state:ga/cd:12,NA,NA,NA,GA,12,FALSE,1312,1.21,96.87,house,114,NA,NA,NA,2964287128
A000367,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000367.json,Justin,NA,Amash,NA,4/18/80,M,R,NA,NA,repjustinamash,repjustinamash,412438,1033767,105566,21143,N00031938,/m/0c00p_n,H0MI03126,https://amash.house.gov,https://amash.house.gov/rss.xml,NA,FALSE,0.649,NA,6,2016,1325,0,3,1/6/19 15:21,ocd-division/country:us/state:mi/cd:3,NA,NA,NA,MI,3,FALSE,2603,0,75.09,house,114,NA,NA,NA,NA
A000369,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000369.json,Mark,NA,Amodei,NA,6/12/58,M,R,NA,MarkAmodeiNV2,MarkAmodeiNV2,markamodeinv2,412500,62817,12537,21196,N00031177,/m/03bzdkn,S0NV00237,https://amodei.house.gov,https://amodei.house.gov/rss/news-releases.xml,NA,FALSE,0.376,NA,6,2016,1325,83,1,1/6/19 15:21,ocd-division/country:us/state:nv/cd:2,NA,NA,NA,NV,2,FALSE,3202,6.26,94.2,house,114,NA,NA,NA,402719755
A000373,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000373.json,Brad,NA,Ashford,NA,11/10/49,M,D,NA,RepBradAshford,RepBradAshford,NA,412642,76302,NA,21533,NA,/m/02pys5v,H4NE02054,https://ashford.house.gov,https://ashford.house.gov/rss.xml,NA,FALSE,-0.185,NA,2,2016,1325,14,0,7/8/18 18:10,ocd-division/country:us/state:ne/cd:2,NA,NA,NA,NE,2,FALSE,3102,1.06,77.73,house,114,NA,NA,NA,2964351843
B001291,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001291.json,Brian,NA,Babin,NA,3/23/48,M,R,NA,RepBrianBabin,RepBrianBabin,NA,412655,44883,360,21551,N00005736,/m/010qgj35,H6TX02079,https://babin.house.gov,NA,NA,FALSE,0.708,NA,2,2016,1325,27,1,7/8/18 18:11,ocd-division/country:us/state:tx/cd:36,NA,NA,NA,TX,36,FALSE,4836,2.04,94.92,house,114,NA,NA,NA,2929491549
B001269,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001269.json,Lou,NA,Barletta,NA,1/28/56,M,R,NA,RepLouBarletta,CongressmanLouBarletta,reploubarletta,412469,29618,47143,21171,N00025495,/m/03wcvjl,H2PA11098,https://barletta.house.gov,NA,NA,FALSE,0.277,NA,6,2016,1325,85,0,7/8/18 18:10,ocd-division/country:us/state:pa/cd:11,NA,NA,NA,PA,11,FALSE,4211,6.42,93.06,house,114,NA,NA,NA,239871673
